IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
144	vault	ActiveDirectory	28291	848	16	31	ActiveDirectory/SharpSploit.md	🗡️ SharpSploit — Complete Cheat Sheet
145	vault	ActiveDirectory	28010	801	18	38	ActiveDirectory/Snaffler.md	🔍 Snaffler — Complete Cheat Sheet
146	vault	Cryptography	0	1	0	0	Cryptography/gog.md	gog
147	vault	Cryptography	75000	2457	33	154	Cryptography/GPG - Cheatsheet markdown.md	Replace every placeholder with a full 40-hex-character OpenPGP fingerprint.
148	vault	DFIR	73874	1915	14	60	DFIR/Forensics Cheatsheet.md	Linux/macOS
149	vault	DFIR	34346	852	11	30	DFIR/RECmd - FullGuide.md	RECmd: Registry Forensics Operational Guide
150	vault	DFIR	29512	849	8	38	DFIR/REDmd - Quick Cheat sheet.md	RECmd: Registry Forensics Cheat Sheet & Workflow Guide
151	vault	DFIR	13167	592	7	42	DFIR/Volitility3 .md	**VOLATILITY 3 - WINDOWS MEMORY FORENSICS CHEAT SHEET**
152	vault	Enumeration	37698	1066	3	80	Enumeration/Anonymous  Null Testing.md	Test null session
153	vault	Enumeration	8206	271	7	14	Enumeration/Awesome NMAP grep.md	awesome-nmap-grep 💥
